Date,4/25/2011,
Time,10:41:22,
Y_Unit_Label,Acceleration (g),
X_Dimension,Time (s),
X0,40:59.2,
Delta_X,0.0005,
***End_of_Header***,,
X_Value,Acceleration - Dev1_ai0,Comment
0,0.204035,
0.0005,0.193417,
0.001,0.182996,
0.0015,0.172397,
0.002,0.160764,
0.0025,0.149544,
0.003,0.139463,
0.0035,0.128138,
0.004,0.116859,
0.0045,0.104374,
0.005,0.094713,
0.0055,0.084599,
0.006,0.074191,
0.0065,0.06282,
0.007,0.051266,
0.0075,0.040844,
0.008,0.030895,
0.0085,0.018974,
0.009,0.007891,
0.0095,-0.002819,
0.01,-0.012467,
0.0105,-0.024434,
0.011,-0.035445,
0.0115,-0.04622,
0.012,-0.057585,
0.0125,-0.067482,
0.013,-0.078676,
0.0135,-0.090401,
0.014,-0.101326,
0.0145,-0.111361,
0.015,-0.122365,
0.0155,-0.131752,
0.016,-0.143797,
0.0165,-0.153924,
0.017,-0.165642,
0.0175,-0.175592,
0.018,-0.185325,
0.0185,-0.196795,
0.019,-0.20546,
0.0195,-0.216163,
0.02,-0.226775,
0.0205,-0.236141,
0.021,-0.24725,
0.0215,-0.257901,
0.022,-0.267235,
0.0225,-0.276182,
0.023,-0.286283,
0.0235,-0.29673,
0.024,-0.30406,
0.0245,-0.311416,
0.025,-0.319931,
0.0255,-0.3288,
0.026,-0.337112,
0.0265,-0.346302,
0.027,-0.355013,
0.0275,-0.36178,
0.028,-0.369823,
0.0285,-0.378319,
0.029,-0.386179,
0.0295,-0.393954,
0.03,-0.401735,
0.0305,-0.409641,
0.031,-0.416578,
0.0315,-0.423574,
0.032,-0.429501,
0.0325,-0.436825,
0.033,-0.44268,
0.0335,-0.450102,
0.034,-0.456337,
0.0345,-0.46089,
0.035,-0.468029,
0.0355,-0.474259,
0.036,-0.478235,
0.0365,-0.483881,
0.037,-0.487123,
0.0375,-0.493359,
0.038,-0.497007,
0.0385,-0.501075,
0.039,-0.504802,
0.0395,-0.509583,
0.04,-0.513671,
0.0405,-0.51597,
0.041,-0.520476,
0.0415,-0.522507,
0.042,-0.526234,
0.0425,-0.528107,
0.043,-0.530131,
0.0435,-0.533262,
0.044,-0.536039,
0.0445,-0.538712,
0.045,-0.54067,
0.0455,-0.542229,
0.046,-0.542884,
0.0465,-0.544234,
0.047,-0.543146,
0.0475,-0.545092,
0.048,-0.545354,
0.0485,-0.544253,
0.049,-0.544699,
0.0495,-0.544456,
0.05,-0.544044,
0.0505,-0.542537,
0.051,-0.541234,
0.0515,-0.539806,
0.052,-0.538024,
0.0525,-0.538096,
0.053,-0.53528,
0.0535,-0.534016,
0.054,-0.531232,
0.0545,-0.528494,
0.055,-0.528743,
0.0555,-0.524439,
0.056,-0.521013,
0.0565,-0.518131,
0.057,-0.515348,
0.0575,-0.511601,
0.058,-0.508581,
0.0585,-0.504245,
0.059,-0.500177,
0.0595,-0.495396,
0.06,-0.490883,
0.0605,-0.486396,
0.061,-0.481254,
0.0615,-0.474959,
0.062,-0.47006,
0.0625,-0.464669,
0.063,-0.457058,
0.0635,-0.450069,
0.064,-0.444318,
0.0645,-0.438377,
0.065,-0.431683,
0.0655,-0.423554,
0.066,-0.416709,
0.0665,-0.409812,
0.067,-0.402718,
0.0675,-0.395002,
0.068,-0.386768,
0.0685,-0.379098,
0.069,-0.372011,
0.0695,-0.363587,
0.07,-0.356042,
0.0705,-0.348116,
0.071,-0.339575,
0.0715,-0.330876,
0.072,-0.322924,
0.0725,-0.314776,
0.073,-0.304911,
0.0735,-0.297654,
0.074,-0.28813,
0.0745,-0.278868,
0.075,-0.268696,
0.0755,-0.259604,
0.076,-0.249602,
0.0765,-0.240916,
0.077,-0.23079,
0.0775,-0.219393,
0.078,-0.208343,
0.0785,-0.198563,
0.079,-0.189105,
0.0795,-0.178638,
0.08,-0.1684,
0.0805,-0.157861,
0.081,-0.147439,
0.0815,-0.138426,
0.082,-0.127999,
0.0825,-0.115783,
0.083,-0.104608,
0.0835,-0.095346,
0.084,-0.083667,
0.0845,-0.074314,
0.085,-0.062419,
0.0855,-0.053222,
0.086,-0.042454,
0.0865,-0.032072,
0.087,-0.020485,
0.0875,-0.010823,
0.088,0.000469,
0.0885,0.011454,
0.089,0.021266,
0.0895,0.032532,
0.09,0.04296,
0.0905,0.052962,
0.091,0.065159,
0.0915,0.076759,
0.092,0.088051,
0.0925,0.099573,
0.093,0.109549,
0.0935,0.120743,
0.094,0.13176,
0.0945,0.142234,
0.095,0.152911,
0.0955,0.163509,
0.096,0.172253,
0.0965,0.18352,
0.097,0.19438,
0.0975,0.203904,
0.098,0.213919,
0.0985,0.22301,
0.099,0.233012,
0.0995,0.242726,
0.1,0.252617,
0.1005,0.261833,
0.101,0.272274,
0.1015,0.282492,
0.102,0.291486,
0.1025,0.300669,
0.103,0.308064,
0.1035,0.318642,
0.104,0.327492,
0.1045,0.336885,
0.105,0.345249,
0.1055,0.35531,
0.106,0.36338,
0.1065,0.372956,
0.107,0.381504,
0.1075,0.390072,
0.108,0.398174,
0.1085,0.405242,
0.109,0.412336,
0.1095,0.419587,
0.11,0.426418,
0.1105,0.433925,
0.111,0.44077,
0.1115,0.447765,
0.112,0.45275,
0.1125,0.458357,
0.113,0.463905,
0.1135,0.468601,
0.114,0.47561,
0.1145,0.481689,
0.115,0.486228,
0.1155,0.491429,
0.116,0.497704,
0.1165,0.501994,
0.117,0.506232,
0.1175,0.510345,
0.118,0.516437,
0.1185,0.520472,
0.119,0.523636,
0.1195,0.528476,
0.12,0.532832,
0.1205,0.536729,
0.121,0.540987,
0.1215,0.543221,
0.122,0.546345,
0.1225,0.547917,
0.123,0.550609,
0.1235,0.552266,
0.124,0.554277,
0.1245,0.55693,
0.125,0.557375,
0.1255,0.558502,
0.126,0.558423,
0.1265,0.560474,
0.127,0.561194,
0.1275,0.561797,
0.128,0.560703,
0.1285,0.561463,
0.129,0.562838,
0.1295,0.560749,
0.13,0.560487,
0.1305,0.558672,
0.131,0.558076,
0.1315,0.557703,
0.132,0.554651,
0.1325,0.553439,
0.133,0.550982,
0.1335,0.54979,
0.134,0.546076,
0.1345,0.544983,
0.135,0.543181,
0.1355,0.540063,
0.136,0.536756,
0.1365,0.534044,
0.137,0.529636,
0.1375,0.525935,
0.138,0.522843,
0.1385,0.519764,
0.139,0.51442,
0.1395,0.509251,
0.14,0.504555,
0.1405,0.50018,
0.141,0.494632,
0.1415,0.48892,
0.142,0.48402,
0.1425,0.477326,
0.143,0.471614,
0.1435,0.465018,
0.144,0.460839,
0.1445,0.452704,
0.145,0.446822,
0.1455,0.440855,
0.146,0.434449,
0.1465,0.426621,
0.147,0.419731,
0.1475,0.412198,
0.148,0.405229,
0.1485,0.396818,
0.149,0.39055,
0.1495,0.382015,
0.15,0.373402,
0.1505,0.364945,
0.151,0.355631,
0.1515,0.348563,
0.152,0.338758,
0.1525,0.330289,
0.153,0.320869,
0.1535,0.31257,
0.154,0.302739,
0.1545,0.293496,
0.155,0.284058,
0.1555,0.274056,
0.156,0.264492,
0.1565,0.254366,
0.157,0.242838,
0.1575,0.234905,
0.158,0.223253,
0.1585,0.213912,
0.159,0.204185,
0.1595,0.193849,
0.16,0.18371,
0.1605,0.173432,
0.161,0.163142,
0.1615,0.153094,
0.162,0.14304,
0.1625,0.132501,
0.163,0.12206,
0.1635,0.112306,
0.164,0.101623,
0.1645,0.091647,
0.165,0.079058,
0.1655,0.069691,
0.166,0.058405,
0.1665,0.047794,
0.167,0.037216,
0.1675,0.025124,
0.168,0.016295,
0.1685,0.003823,
0.169,-0.006074,
0.1695,-0.016581,
0.17,-0.026393,
0.1705,-0.036814,
0.171,-0.048021,
0.1715,-0.057735,
0.172,-0.068831,
0.1725,-0.078984,
